"Unitid","PeerUnitid"
100751,130943
100751,100858
100751,199193
100751,207500
100751,218663
100751,228723
100751,106397
100751,139755
100751,139940
100751,157085
100751,159391
100751,176372
100751,199120
100751,163286
100751,207388
100751,225511
100751,228778
100751,134130
100751,176017
100751,139959
100751,217882
100751,100663
100751,221759
100751,229115
100751,234076
100751,134097
100751,233921
100751,238032
100751,104151
100751,176080
106397,221759
106397,176080
106397,139959
106397,181464
106397,217882
106397,100858
106397,153603
106397,207500
106397,218663
106397,228723
106397,134130
106397,176017
106397,100751
106397,157085
106397,159391
106397,155317
106397,178396
107600,102270
107600,176406
107600,228884
107600,229887
107600,225575
107600,227429
107600,102298
107600,176318
107600,198862
107600,133526
107600,197993
107600,218399
107600,220604
107600,225885
107600,217624
107600,218919
107600,228486
107600,140720
107600,158802
107600,220181
107600,234137
107600,206491
107600,101073
107600,106306
108870,140951
108870,144281
108870,109086
108870,123165
108870,111081
108870,121628
108870,190150
108870,109651
108870,110370
108870,193900
108870,123961
108870,111948
110592,110510
110592,110608
110592,185129
110592,190600
110592,229027
110592,102368
110592,110556
110592,110547
110592,207263
110592,160038
110592,110486
117627,109785
117627,120883
117627,170301
117627,125727
117627,173258
117627,174844
117627,225247
117627,110097
117627,121309
117627,122931
117627,110361
117627,121150
117627,122436
117627,149781
117627,168740
117627,111948
117627,120254
117627,121691
117627,150668
117627,117946
117627,117140
117627,236577
117627,112075
117627,120865
117627,169080
117627,231651
117627,236230
117627,236896
121257,115409
121257,121345
121257,123165
121257,197133
121257,203535
121257,212009
121257,130590
121257,153384
121257,173258
121257,160977
121257,173902
121257,112260
121257,212577
121257,212911
121257,191515
121257,120254
121257,237057
123961,144050
123961,166027
123961,186131
123961,215062
123961,221999
123961,179867
123961,196413
123961,147767
123961,193900
123961,139658
123961,217156
123961,190150
123961,160755
123961,195030
123961,211440
123961,243744
123961,165015
123961,162928
123961,227757
123961,110404
123961,190415
123961,198419
123961,130794
123961,166683
123961,201645
127273,450304
127273,196884
127273,144014
127273,124283
127273,145275
127741,159647
127741,160658
127741,199148
127741,213020
127741,150136
127741,201441
127741,220978
127741,219356
130697,144050
130697,217156
130697,112260
130697,193900
130697,212911
130697,230959
130697,161004
130697,234207
130697,168218
130697,191515
130697,195526
130697,204501
130697,198385
130697,153384
130697,164465
130697,165015
130697,168342
130697,173258
130697,115409
130697,121345
130697,167835
130697,168148
130697,182670
130697,190099
130697,197133
130697,216287
131450,140872
131450,159568
131450,114813
131450,150604
131450,197984
131450,229160
131450,199306
131450,211583
131450,153278
131450,157757
136330,218070
136330,149781
136330,152530
136330,156213
136330,222178
136330,236577
136330,102049
136330,169080
136330,225399
136330,219709
136330,136950
136330,137546
136330,173160
136330,121309
136330,134079
136330,109785
136950,216597
136950,228343
136950,100937
136950,233374
136950,137546
136950,221351
136950,221519
136950,156408
136950,175980
136950,141060
136950,198385
136950,198516
136950,229267
136950,126678
136950,234207
136950,140553
136950,107080
136950,158477
136950,210401
136950,212674
136950,218070
139755,145637
139755,170976
139755,147767
139755,228778
139755,134130
139755,110635
139755,199193
139755,228723
139755,174066
139755,214777
139755,233921
139755,236948
139755,166683
139755,110404
139755,190415
139755,110662
139755,211440
139755,243744
139755,243780
139755,162928
140960,196185
140960,218061
140960,168263
140960,207847
140960,240471
140960,213613
140960,240426
140960,186201
140960,101709
140960,234155
140960,181215
140960,211608
140960,232566
140960,159416
140960,176035
140960,129215
141060,189097
141060,212577
141060,216278
141060,143084
141060,156295
141060,184348
141060,210669
141060,140553
141060,202523
141060,213385
141060,126678
141060,160904
141060,195216
141060,136950
141060,191630
141060,198385
141060,168218
141060,195526
141060,206589
141060,138600
141060,167835
141060,221351
141060,130590
141060,166939
141060,167996
141060,189088
141060,197133
141060,133492
141060,160977
142328,157058
142328,180522
142328,219046
142328,152266
142328,174075
142328,205443
142328,237932
142328,151388
142328,127556
142328,170639
142328,107983
142328,178341
142328,200059
142328,161226
142328,178387
142328,237215
145336,145813
145336,148654
145336,149222
145336,144892
145336,144005
145336,145600
145336,151360
145336,145637
145336,147776
100858,199193
100858,207500
100858,218663
100858,228723
100858,100751
100858,106397
100858,139755
100858,157085
100858,159391
100858,199120
100858,163286
100858,207388
100858,228778
100858,134130
100858,176017
100858,139959
100858,217882
100858,221759
100858,234076
100858,134097
100858,233921
100858,238032
100858,176080
101693,219806
101693,231420
101693,217633
101693,219578
101693,102234
101693,140872
101693,231554
101693,101912
101693,140234
101693,141237
101693,159568
101693,175430
101693,198899
101693,101435
101693,198835
101693,219790
101693,101189
102094,180489
102094,220862
102094,133951
102094,232982
102094,133669
102094,159939
102094,151111
102094,228769
102094,227216
102094,136172
102094,166638
102094,181394
102094,228459
102261,132879
102261,181093
102261,110060
102261,194569
102261,217606
102261,105899
102261,220206
102261,155496
102261,171881
102261,200484
102261,153302
102261,117104
102261,153320
102261,179256
102261,202903
102261,224244
102261,237136
102261,170091
102261,176789
102377,132602
102377,141060
102377,160904
102377,140553
102377,217721
102377,158802
102377,220181
102377,201690
102377,232265
102377,131520
102377,138947
106458,228459
106458,106245
106458,157951
106458,159647
106458,197869
106458,139931
106458,179566
106458,220978
106458,127741
106458,142276
106458,160658
106458,227881
106458,106704
110468,143978
110468,115083
110468,111948
110468,147536
110468,121150
110468,112251
110468,119605
117104,146667
117104,117751
117104,123651
117104,155496
117104,220206
117104,181093
117104,209287
117104,170000
117104,217925
117104,215114
117104,388520
117104,220473
117104,141185
117104,213400
117104,224244
117104,112084
117104,123457
117104,211024
117104,120537
117104,122728
117104,201858
117520,128744
117520,228866
117520,193751
117520,177986
117520,210438
117520,243823
117520,140252
117520,154174
117520,174507
117520,117672
117520,177038
117520,218751
117520,147590
126012,110778
126012,123095
126012,142832
126012,177427
126012,132842
126012,241331
126012,110307
126012,240213
126012,143978
126012,166717
126012,110316
126012,374024
126012,120698
126562,100663
126562,151111
126562,201885
126562,230764
126562,145600
126562,187985
126562,172644
126562,234030
126678,191515
126678,204501
126678,173902
126678,211291
126678,230959
126678,198385
126678,120254
126678,237057
126678,153384
126678,173258
126678,160977
126678,161086
126678,166124
126678,190099
126678,203535
129020,139959
129020,217882
129020,110662
129020,110680
129020,243780
129020,234076
129020,240444
129020,110653
129020,236948
129020,145637
129020,170976
129020,139755
129020,199120
129020,204796
129020,228778
129020,110705
129020,134130
129020,215293
129020,110635
129020,110644
129020,163286
129020,214777
129020,231624
131876,213011
131876,165671
131876,211556
131876,211583
131876,130314
131876,184773
131876,186618
131876,167783
131876,211468
131876,162760
131876,206349
131876,211431
131876,163578
131876,166452
131876,193645
131876,215691
132693,133386
132693,133702
